         X         Y
--------------------
     -5,00      1,00
     -4,90      0,97
     -4,80      0,93
     -4,70      0,90
     -4,60      0,87
     -4,50      0,83
     -4,40      0,80
     -4,30      0,77
     -4,20      0,73
     -4,10      0,70
     -4,00      0,67
     -3,90      0,63
     -3,80      0,60
     -3,70      0,57
     -3,60      0,53
     -3,50      0,50
     -3,40      0,47
     -3,30      0,43
     -3,20      0,40
     -3,10      0,37
     -3,00      0,33
     -2,90      0,30
     -2,80      0,27
     -2,70      0,23
     -2,60      0,20
     -2,50      0,17
     -2,40      0,13
     -2,30      0,10
     -2,20      0,07
     -2,10      0,03
     -2,00      0,00
     -1,90     -0,34
     -1,80     -0,23
     -1,70     -0,13
     -1,60     -0,03
     -1,50      0,07
     -1,40      0,17
     -1,30      0,27
     -1,20      0,38
     -1,10      0,49
     -1,00      0,60
     -0,90      0,73
     -0,80      0,86
     -0,70      1,01
     -0,60      1,17
     -0,50      1,37
     -0,40      1,60
     -0,30      1,89
     -0,20      2,30
     -0,10      2,99
      0,00         ∞
      0,10      2,99
      0,20      2,30
      0,30      1,89
      0,40      1,60
      0,50      1,37
      0,60      1,17
      0,70      1,01
      0,80      0,86
      0,90      0,73
      1,00      0,60
      1,10      0,49
      1,20      0,38
      1,30      0,27
      1,40      0,17
      1,50      0,07
      1,60     -0,03
      1,70     -0,13
      1,80     -0,23
      1,90     -0,34
      2,00      0,00
      2,10      0,03
      2,20      0,07
      2,30      0,10
      2,40      0,13
      2,50      0,17
      2,60      0,20
      2,70      0,23
      2,80      0,27
      2,90      0,30
      3,00      0,33
      3,10      0,37
      3,20      0,40
      3,30      0,43
      3,40      0,47
      3,50      0,50
      3,60      0,53
      3,70      0,57
      3,80      0,60
      3,90      0,63
      4,00      0,67
      4,10      0,70
      4,20      0,73
      4,30      0,77
      4,40      0,80
      4,50      0,83
      4,60      0,87
      4,70      0,90
      4,80      0,93
      4,90      0,97
      5,00      1,00
